discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
0,0,"Quần lót nam tam giác chất liệu mỏng nhẹ, co giãn thoải mái chính hãng Santino",95000,95000,4.8,13,35
121000,35,Combo 5 quần đùi nam Cotton mặc nhà thoải mái thoáng mát JAMANO- MÀU NGẪU NHIÊN,350000,229000,4.5,162,511
0,0,"Áo khoác jeans nam in hình cún dễ thương mặt cười , áo khoác nam form vừa phối nỉ mềm co dãn lôi cuốn có mũ có 3 size Julido mẫu khoác AKJ8686 - Màu Xanh",199000,199000,4.6,853,1890
100000,40,Áo thun nam trơn tay lỡ GENZ Premium Cotton phông Unisex form rộng oversize nhiều màu - GZT01,250000,150000,5,259,644
0,0,"Áo khoác phao béo siêu nhẹ Santino mũ chùm chất liệu giữ nhiệt, chống thấm nước phom dáng vừa vặn 01",685000,685000,3.7,3,7
0,0,QUẦN DA ,335000,335000,0,0,
0,0,Combo 4 Quần Sịp Đùi Boxer  Thông Hơi Thoáng Mát - Quần Lót Nam (Giao Màu Ngẫu Nhiên),85000,85000,4.5,830,6987
0,0,Bộ Thun Nam Dài Tay Mặc Nhà Cho Nam Kiểu Dáng Hàn Quốc Trẻ Trung DONASHOP99 BN120,500000,500000,0,0,
150000,50,Áo Phông Nam Polo Có Cổ Tay Ngắn Trơn Mùa Hè Nhiều Màu VICERO,300000,150000,4.3,91,271
0,0,Bộ Quần Áo Đũi Nam,450000,450000,0,0,
265000,54,"Bộ Thể Thao Nam 5S (8 màu), Chất Liệu Coolmax Siêu Mát, Dáng Thể Thao Trẻ Trung, Năng Động (BTSO21051)",494000,229000,4.8,417,1037
0,0,Phụ kiện bộ ấm tà cối xay,90000,90000,0,0,
114000,22,"Quần tây nam công sở AKUBA dáng ôm vải mịn, co giãn nhẹ, chống nhăn chống xù 02E710",515000,401000,5,7,29
0,0,"Set Bộ Thể Thao, Đồ Bộ Quần Áo Cổ Tròn, Đồ Bộ Thun Lạnh Mặc Mát - K085 ",179000,179000,0,0,
173000,51,Bộ Mặc Nhà Thể Thao Nam Mùa Hè Năng Động ZERO,338000,165000,4.5,356,862
0,0,SET BỘ MŨ 3 MÀU,125000,125000,0,0,
80000,10,Áo Khoác Nam Biluxury ( 5AG2T009) Polyester 2 Lớp Cản Gió Chống Nước Chống Bám Bụi Đẳng Cấp Mặc 2 Mặt Đa Năng,799000,719000,4.3,6,11
0,0,Áo giữ nhiệt cotton cổ tròn bigsize,150000,150000,0,0,
240000,40,Quần Túi Hộp Tháo Ống US ARMY U880 Chuyên Phượt Chất Vải Gió Cao Cấp Mau Khô Ống Có Thể Tháo Rời Làm Quần Short -HÀNG CHÍNH HÃNG,599000,359000,4.7,161,297
0,0,Áo loang tiedye dáng thụng unisex mã số 11,109000,109000,0,0,
0,0,"Áo POLO nam ngắn tay cổ bẻ Santino chất liệu thể thao co dãn, dáng slim trẻ trung năng động TSP365B858",365000,365000,0,0,
0,0,Set bộ đồ nam Free Style đủ size (Mẫu mới 2021) Phong Cách Hàn Quốc Thoáng Mát trẻ trung Năng Động,49985,49985,0,0,
135000,45,Bộ Mặc Nhà Nam Mùa Hè Mát Mẻ Cao Cấp Thời Trang ZERO,300000,165000,4.5,275,674
0,0,BỘ NỈ THU ĐÔNG NEVER STOP  BỘ NỈ DÀI TAY MÙA ĐÔNG SET BỘ NỈ DÀI (ảnh thật +video shop quay),99000,99000,0,0,
212000,44,"Quần tây nam đi học ống đứng tôn dáng AKUBA form slimfit chống nhăn, co giãn, mềm mại, bền màu 01K3008",481000,269000,4.7,23,51
0,0,"Áo thun nam cao cấp hàng vnxk, áo phông nam hàng xuất khẩu chất cotton thoáng mát",249600,249600,0,0,
0,0,Áo khoác phao nam có mũ đẹp thời trang hàn quốc 3 lớp vải dù cao cấp chống nước không bám bẩn giữ nhiệt mùa đông màu đen mẫu 2019 Việt Nam xuất khẩu LC,189000,189000,3.5,10,27
0,0,Short V+Áo thun NamNữ BIGSIZE,139000,139000,0,0,
0,0,Áo sơ mi nam tay ngắn hoạ tiết Santino chất liệu sợi tre chống tia UV dáng slim tà ngang sang trọng ASN495S607,495000,495000,0,0,
0,0,{SIÊU PHẨM MÙA ĐÔNG} ÁO KHOÁC NAM/ÁO KHOÁC NAM NỈ NGOẠI LÓT LÔNG GIỮ NHIỆT BAO ĐẸP SIÊU ẤM ÁP CÓ SIZE 3XL THỜI TRANG NYN,169000,169000,0,0,
45000,50,Quần đùi thun lạnh mùa hè,90000,45000,5,22,67
0,0,Bộ Đũi Nam cổ tàu ( Mát - Nhẹ Như Không),60000,60000,0,0,
