discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
0,0,"Ao khoac phao beo sieu nhe Santino mu chum chat lieu giu nhiet, chong tham nuoc phom dang vua van 01",685000,685000,3.7,3,7
0,0,QUAN DA ,335000,335000,0,0,
0,0,Combo 4 Quan Sip Dui Boxer  Thong Hoi Thoang Mat - Quan Lot Nam (Giao Mau Ngau Nhien),85000,85000,4.5,830,6987
0,0,Bo Thun Nam Dai Tay Mac Nha Cho Nam Kieu Dang Han Quoc Tre Trung DONASHOP99 BN120,500000,500000,0,0,
150000,50,Ao Phong Nam Polo Co Co Tay Ngan Tron Mua He Nhieu Mau VICERO,300000,150000,4.3,91,271
0,0,Bo Quan Ao Dui Nam,450000,450000,0,0,
265000,54,"Bo The Thao Nam 5S (8 mau), Chat Lieu Coolmax Sieu Mat, Dang The Thao Tre Trung, Nang Dong (BTSO21051)",494000,229000,4.8,417,1037
0,0,Phu kien bo am ta coi xay,90000,90000,0,0,
114000,22,"Quan tay nam cong so AKUBA dang om vai min, co gian nhe, chong nhan chong xu 02E710",515000,401000,5,7,29
0,0,"Set Bo The Thao, Do Bo Quan Ao Co Tron, Do Bo Thun Lanh Mac Mat - K085 ",179000,179000,0,0,
173000,51,Bo Mac Nha The Thao Nam Mua He Nang Dong ZERO,338000,165000,4.5,356,862
0,0,SET BO MU 3 MAU,125000,125000,0,0,
80000,10,Ao Khoac Nam Biluxury ( 5AG2T009) Polyester 2 Lop Can Gio Chong Nuoc Chong Bam Bui Dang Cap Mac 2 Mat Da Nang,799000,719000,4.3,6,11
0,0,Ao giu nhiet cotton co tron bigsize,150000,150000,0,0,
240000,40,Quan Tui Hop Thao Ong US ARMY U880 Chuyen Phuot Chat Vai Gio Cao Cap Mau Kho Ong Co The Thao Roi Lam Quan Short -HANG CHINH HANG,599000,359000,4.7,161,297
0,0,Ao loang tiedye dang thung unisex ma so 11,109000,109000,0,0,
0,0,"Ao POLO nam ngan tay co be Santino chat lieu the thao co dan, dang slim tre trung nang dong TSP365B858",365000,365000,0,0,
0,0,Set bo do nam Free Style du size (Mau moi 2021) Phong Cach Han Quoc Thoang Mat tre trung Nang Dong,49985,49985,0,0,
135000,45,Bo Mac Nha Nam Mua He Mat Me Cao Cap Thoi Trang ZERO,300000,165000,4.5,275,674
0,0,BO NI THU DONG NEVER STOP  BO NI DAI TAY MUA DONG SET BO NI DAI (anh that +video shop quay),99000,99000,0,0,
212000,44,"Quan tay nam di hoc ong dung ton dang AKUBA form slimfit chong nhan, co gian, mem mai, ben mau 01K3008",481000,269000,4.7,23,51
0,0,"Ao thun nam cao cap hang vnxk, ao phong nam hang xuat khau chat cotton thoang mat",249600,249600,0,0,
0,0,Ao khoac phao nam co mu dep thoi trang han quoc 3 lop vai du cao cap chong nuoc khong bam ban giu nhiet mua dong mau den mau 2019 Viet Nam xuat khau LC,189000,189000,3.5,10,27
0,0,Short V+Ao thun NamNu BIGSIZE,139000,139000,0,0,
0,0,Ao so mi nam tay ngan hoa tiet Santino chat lieu soi tre chong tia UV dang slim ta ngang sang trong ASN495S607,495000,495000,0,0,
0,0,{SIEU PHAM MUA DONG} AO KHOAC NAM/AO KHOAC NAM NI NGOAI LOT LONG GIU NHIET BAO DEP SIEU AM AP CO SIZE 3XL THOI TRANG NYN,169000,169000,0,0,
45000,50,Quan dui thun lanh mua he,90000,45000,5,22,67
0,0,Bo Dui Nam co tau ( Mat - Nhe Nhu Khong),60000,60000,0,0,
0,0,Quan kaki nam TRUNG NIEN Santino chat lieu cotton cao cap dang xuong thoai mai sang trong KKG595K611,535500,535500,3.7,3,17
0,0,Bo Ni The Thao Thoi Trang Thiet Ke Nang Dong Tre Trung Cao Cap ZERO,509000,509000,0,0,
214500,50,"Ao Thun Nam 5S Co Co (4 Mau) Chat Lieu Cotton Premium, Sieu Mat, Phom Dang Tre Trung, (APC21014)",429000,214500,4.8,249,544
0,0,Bo Mac Nha Nam Kieu Dang The Thao Phoi Mau Nang Dong Thoi Trang ZERO,600000,600000,0,0,
0,0,"Ao khoac phao nam beo sieu nhe Santino mu chum chat lieu giu nhiet, chong tham nuoc phom dang vua van 04",685000,685000,4,3,9
0,0,Bo pyjama nam sizee 45-90kg tro xuong,180400,180400,0,0,
191000,58,Quan Short Nam Kaki Vicero 6 Mau Phong Cach Han Quoc,330000,139000,4.3,645,2659
0,0,Hang Thai xin Ao lot soc ban tay co gong sieu day MS707,65000,65000,0,0,
161000,34,Ao khoac du nam AKUBA Cao cap 2 lop | 01CW011,469000,308000,4.2,5,15
0,0,set do bo nam the thao,170000,170000,0,0,
106000,49,"Combo 3 Quan sip nam thong hoi, quan lot nam chat cotton thun lanh min mat - ZQ204",215000,109000,4.3,189,767
0,0,SET BO THUN THE THAO SIEU HOT,102000,102000,0,0,
0,0,Ao so mi nam tim nhat tron dai tay Santino chat lieu soi tre dang slim sang trong ASD380M106,380000,380000,0,0,2
0,0,"Bo dui nam dai tay, chat lieu dui moc cao cap gia sieu re",229000,229000,0,0,
679000,50,"Ao Khoac Kaki Nam Cao Cap US ARMY U789, Ao Khoac Nam Kieu Linh Co Mu Lot Bong Cuu Sieu Am Phong Cach Cuc Ngau -HANG CHINH HANG",1358000,679000,5,99,123
0,0, combo 4 quan sip quan lot nam thun lanh doremon hoat hinh 4 chieu,98000,98000,5,2,9
0,0,"Ao giu nhiet nam co 3 phan phoi cau vai chinh hang Santino, chat lieu co gian thoai mai phu hop moi do tuoi TSD265P881",265000,265000,0,0,2
100000,42,"COMBO3 Quan lot nam Thong hoi nhat ban, quan sip duc thong hoi khong duong may khong vien mac thoang mat khu mui QL17",239000,139000,4.5,56,149
0,0,Ao Hoodie Ni Bong Tron  Unisex 5 mau (nam nu deu mac duoc),56000,56000,4.5,89,220
170000,50,"Set 4 Quan Lot Nam 5S (5BF020-05TG) Cap 2,5cm Chat Lieu Cotton Cao Cap",340000,170000,4.6,213,605
0,0,Quan kaki nam dai Santino chat lieu cotton cao cap dang slim tre trung sang trong KSG525K616,380000,380000,4.8,12,25
0,0,Ao nam nu dep gia re - NA47,395390,395390,0,0,
71000,47,Combo 4 Quan Lot Nam cao cap | quan xi nam | quan sip nam | lung nhat | vai thun lanh 4 chieu | hieu CM | lung lon | cap to | kieu brief | tam giac truyen thong | do lot nam,150000,79000,4.6,56,153
0,0,ao may o nam det kim dong xuan mau tim thabn,99000,99000,0,0,
21000,21,Combo 5 Quan lot nam CITYMEN - Quan sip nam tam giac Viet Nam (Nhieu Mau),100000,79000,4.3,559,4909
0,0,(FS) AO KHOAC DU NAM NU IN CHU TRUOC NGUC KD006,75000,75000,0,0,
133000,42,Quan Kaki Nam Co Gian Dang Au Thoi Trang VICERO,318000,185000,4.2,423,1145
0,0,"Ao khoac ni Hoodie ""AND THE"" Unisex Cuc chat",99000,99000,0,0,
5000,7,Quan dui nam mac ngu thun cotton 100% rat thoai mai hang chat luong loai quan thun nam dui mac ngu mau ngau nhien,69000,64000,3.5,40,274
0,0,Quan tay au nam cao cap,103000,103000,0,0,
59880,12,Ao Khoac Da Nam Lot Long Cuu Cao Cap WD007,499000,439120,4.6,59,122
0,0,"Quan short cartoon , quan short hoat hinh form unisex nam nu",79000,79000,0,0,
180000,47,Ao hoodie the thao cao cap xuat khau freesize AKUBA nam nu unisex day dan co gian ben mau khong co rut 01j0073,379000,199000,4.7,52,213
0,0,Ao So Mi Nam Ngan Tay Cong So Thoi Trang VICERO,509000,509000,0,0,
140000,35,"Ao Phong Nam Linh My (2 Mau), Chat Lieu Mem Mai, Thoang Mat, Chong Nhan, Phom Dang Xuong Tre Trung, Nang Dong (U289)-HANG CHINH HANG",399000,259000,4.8,131,240
0,0,Ao Thun Quan Trong La Than Thai - Thun Cotton ANL1003,49000,49000,0,0,
0,0,"Ao thun One Piece Zoro T01 , ao phong One Piece Zoro Unisex Nam Nu co Size be tu 25-95kg",39000,39000,4.6,101,220
0,0,QUAN GIU NHIET THE THAO NAM CAO CAP,78000,78000,0,0,
0,0,[BASIC EDITION - Ao It's You Vato9],319000,319000,5,63,84
0,0,So mi trang phoi chuot // hinh chup that,130000,130000,0,0,
190000,50,"Set 4 Quan Sip Dui Nam 5S (5BX020-05SD) Cap 2,5cm Chat Lieu CottonCao Cap",380000,190000,4.7,210,490
0,0,Bo Quan Ao Free Fire cotton co tron cuc chat - The Vo Cuc Mua 2 Hip HOP,152450,152450,0,0,
0,0,Combo 3 Quan Dui Nam,167500,167500,4.6,369,1281
0,0,AO NAM NI LEN SPORT 2 SIZE L/XL DANH CHO NAM 1111lt,30000,30000,0,0,
56000,49,Quan short nam big size quan sot nam the thao chong nong quan dui nam mac nha quan thun nam cotton 4 chieu co gian cao cap WSB2 ,115000,59000,4.5,104,490
6000,4,Ao Hoodie Ni Alan Walker Nam Nu Dang Rong G130,165000,159000,5,2,6
0,0,[SPECIAL EDITION - Ao It's Real Vato9],319000,319000,5,31,40
0,0,Quan ngo nu jean co gian tot 2 tui truoc Ms 900,286000,286000,0,0,
0,0,Ao khoac du bomber nam nu cuc bam logo chu K sac net,94000,94000,4.5,22,49
0,0,Ao So Mi Nam Den Ngan Tay Chat Cotton Co Dan Mem Mai Khong Nhan Khong Xu Dang Om Mac Thoai Mai Bao Kiem Tra Chat Luong,516000,516000,0,0,
69000,50,Ao thun tay dai nam giu nhiet cao cap vai thun cotton co gian 4 chieu mac lot ben trong am ap,138000,69000,4.8,22,82
0,0,Ao gio 3 KHOA LOT LONG Hidoli- UNISEX mac duoc ca nam va nu,169000,169000,0,0,
111200,44,"Quan jean nam chat jean xin Julido, Phoi rach mau moi form dep ton dang khong qua om mau Top09",250200,139000,4.5,214,472
0,0,Quan the thao nam nu unisex 1 Thu Dong chat day co gian ong suong mac nha mac the duc,85000,85000,0,0,
0,0,Quan Short Nam Chat Dui Chat Thoang Mat Dang Tre Trung T36,135000,135000,5,50,147
0,0,"Ao so mi lua nam nu form rong tay lo in hinh cuc hoa mi nho cuc chat, chat lua mem min, thoai mai",25777,25777,0,0,
0,0,Ao Giu Nhiet Nam Lot Ni Co 5 Phan Am Ap,79999,79999,0,0,
81000,32,Quan boxer nam cao cap vai cotton 100% thoang mat co gian 4 chieu DILANO BX01,250000,169000,0,0,
71000,24,Combo 4 quàn lót nam cạp 1cm sọi tre Bamboo tụ nhien mèm mịn thám hút mò hoi - Mau Ngau nhien,300000,229000,4.6,258,750
0,0,Quan Culottes ong rong soc mau vai Cotton min mat FFStore,150000,150000,0,0,
0,0,"Quan Lot Nam Thun Lanh Cotton ICON Co Gian 4 chieu, Quan Lot Nam Dui Boxer ICON Demin sexy cao cap - Minhstore",34000,34000,4.5,16,198
0,0,"Gap GonMoc Chum Phoi Quan Ao, Do Baby, Ta, Do Nho, Quan Lot Nam Nu 32 Kep",122500,122500,0,0,
79200,44,"Ao thun nam dai tay Julido, Chat thun cotton xin bo tay va hong mau thu dong AT1357",178200,99000,4.6,151,351
0,0,Combo 4 Quan dui nam the thao vai gio Quan Short nam mac mua he thoang mat Micado,219000,219000,3.8,27,85
40000,27,Ao Khoac Ni Bong Theu MOOS Form Rong Xe Ta Ulzzang co mu nhieu mau,150000,110000,5,13,27
0,0,Ao hoodie nam nu ni tron mat bong unisex co tron kieu han quoc,70000,70000,0,0,
21000,50,Ao Thun Nam Co Tron Nhieu Mau,42000,21000,3.4,80,432
0,0,( Ao Van Toan ) AO GATHER HOODIE,399000,399000,5,27,50
0,0, QUAN AO THE THAO NAM    BO HE CHO NAM NU IN CHU FULUA DO CAP DOI 2020,78000,78000,4.2,28,67
0,0,QUAN JEAN NAM BAGGY PHOI HAI TUI HOP UNISEX MR SMILE 99 SHOP,265000,265000,0,0,
269000,34,"Quan Tui Hop Nam Linh My US ARMY U768 Cao Cap, Chat Lieu Vai Kaki,Ben Mau, Ong Rong Phong Cach, Thiet ke Tui Hop- HANG CHINH HANG",799000,530000,5,100,142
0,0,Ao loang tiedye dang thung unisex ma so 01,95000,95000,0,0,
0,0,"Quan lot nam ARISTINO dang boxer, quan sip dui nam chat lieu Cotton Oganic mem mai, tham hut va khu mui vuot troi - ABX056",79000,79000,4.8,27,135
0,0,"Quan short quan dui nam SAT SLUX-01 vai kaki cao cap, tre trung, day dan, co gian nhe, chuan form",280000,280000,0,0,
180000,42,"Quan tay nam cong so cao cap AKUBA form regular, co gian nhe, chat lieu mem min ,thoang mat tham hut mo hoi tot 01T0039",429000,249000,4.5,68,203
0,0,"Ao Khoac Nam, Khoac Du Nam 2 lop",155000,155000,0,0,
319000,44,"Bo Quan Ao Ni Nam 5S (5 mau), Chat Lieu Cotton USA, Mem Min, Ben Mau, Khong Bai Xu, Co Gian Thoai Mai (BNI21001)",728000,409000,4.8,119,254
